influencer_id,name,category,gender,follower_count,platform
INF001,Stephen Smith,Fashion,Male,11556,Twitter
INF002,Christopher Coleman,Tech,Male,41579,Instagram
INF003,Dawn Campos,Fashion,Other,147964,Instagram
INF004,Alex Spencer,Gaming,Female,13331,Instagram
INF005,Daniel Bray,Fitness,Male,65990,Instagram
INF006,Juan Booker,Gaming,Male,192700,TikTok
INF007,Adriana Lee,Tech,Female,159472,Twitter
INF008,James Martinez,Fitness,Male,188013,TikTok
INF009,Kevin Flores,Beauty,Female,45758,YouTube
INF010,Hannah Mcpherson,Beauty,Male,29312,TikTok
INF011,Kimberly Baxter,Fitness,Female,95165,Twitter
INF012,Dr. Chelsea Kirk,Fitness,Other,125435,Instagram
INF013,James Brown,Lifestyle,Male,149714,Twitter
INF014,Veronica Parrish,Fashion,Other,99800,YouTube
INF015,Linda Santos,Fashion,Male,17012,YouTube
INF016,Amanda Salazar,Beauty,Male,66024,Instagram
INF017,Sean Rowe,Lifestyle,Female,123858,Twitter
INF018,Corey Wilson,Tech,Female,98132,YouTube
INF019,Jessica Landry DVM,Fashion,Female,188977,Instagram
INF020,Veronica Rodriguez,Gaming,Other,49862,YouTube
INF021,Bradley Mccoy,Tech,Female,104471,Twitter
INF022,Maria Thompson,Fashion,Other,151001,YouTube
INF023,Nancy Wilson,Fashion,Female,19663,YouTube
INF024,Michael Patterson,Fitness,Female,110162,Twitter
INF025,Diana Ayala,Fitness,Male,153682,Twitter
INF026,Barbara Gregory,Tech,Other,135870,TikTok
INF027,Jodi Gonzalez,Fashion,Female,42452,Twitter
INF028,Daniel Smith,Tech,Male,152159,Twitter
INF029,Mrs. Amy Black DDS,Fashion,Other,117311,TikTok
INF030,David Wright,Beauty,Male,41262,TikTok
